赛区,场次号,红方学校,蓝方学校,局数,红胜局,蓝胜局,场总伤害,平均时长,胜方学校,红方类别,蓝方类别,序号,热力图,代表局号,代表局game_id,代表局总伤害,轨迹图
北部赛区,84,西北工业大学,哈尔滨工业大学,3,1,2,29790.0,420.0,哈尔滨工业大学,全国赛,全国赛,11,h2h_011_heatmap_西北工业大学_vs_哈尔滨工业大学.png,1,1780371297834,10453.0,h2h_011_paths_round1_西北工业大学_vs_哈尔滨工业大学.png
北部赛区,75,同济大学,东北大学,2,0,2,29343.0,420.0,东北大学,全国赛,全国赛,12,h2h_012_heatmap_同济大学_vs_东北大学.png,2,1780315632017,14870.0,h2h_012_paths_round2_同济大学_vs_东北大学.png
北部赛区,83,东北大学,哈尔滨工业大学（威海）,2,2,0,28620.0,420.0,东北大学,全国赛,全国赛,13,h2h_013_heatmap_东北大学_vs_哈尔滨工业大学_威海.png,2,1780370356133,14914.0,h2h_013_paths_round2_东北大学_vs_哈尔滨工业大学_威海.png
东部赛区,70,华东理工大学,江南大学霞客湾校区,3,2,1,28003.0,420.0,华东理工大学,全国赛,复活赛,14,h2h_014_heatmap_华东理工大学_vs_江南大学霞客湾校区.png,1,1779608504282,11578.0,h2h_014_paths_round1_华东理工大学_vs_江南大学霞客湾校区.png
南部赛区,55,广州城市理工学院,东莞理工学院,3,2,1,27903.0,420.0,广州城市理工学院,全国赛,全国赛,15,h2h_015_heatmap_广州城市理工学院_vs_东莞理工学院.png,2,1778839915616,10153.0,h2h_015_paths_round2_广州城市理工学院_vs_东莞理工学院.png
北部赛区,77,哈尔滨工业大学（威海）,西安交通大学,3,2,1,27629.0,420.0,哈尔滨工业大学（威海）,全国赛,全国赛,16,h2h_016_heatmap_哈尔滨工业大学_威海_vs_西安交通大学.png,2,1780319988345,10028.0,h2h_016_paths_round2_哈尔滨工业大学_威海_vs_西安交通大学.png
南部赛区,73,深圳技术大学,华南农业大学,3,1,2,26679.0,420.0,华南农业大学,复活赛,全国赛,17,h2h_017_heatmap_深圳技术大学_vs_华南农业大学.png,3,1778928844469,9680.0,h2h_017_paths_round3_深圳技术大学_vs_华南农业大学.png
北部赛区,76,西北工业大学,北京理工大学,3,2,1,26501.0,420.0,西北工业大学,全国赛,全国赛,18,h2h_018_heatmap_西北工业大学_vs_北京理工大学.png,1,1780316478995,9947.0,h2h_018_paths_round1_西北工业大学_vs_北京理工大学.png
东部赛区,55,江南大学霞客湾校区,合肥工业大学（宣城校区）,3,1,2,26478.0,420.0,合肥工业大学（宣城校区）,复活赛,全国赛,19,h2h_019_heatmap_江南大学霞客湾校区_vs_合肥工业大学_宣城校区.png,1,1779528983756,10603.0,h2h_019_paths_round1_江南大学霞客湾校区_vs_合肥工业大学_宣城校区.png
东部赛区,73,哈尔滨工业大学（深圳）,中国科学技术大学,3,2,1,26370.0,420.0,哈尔滨工业大学（深圳）,全国赛,复活赛,20,h2h_020_heatmap_哈尔滨工业大学_深圳_vs_中国科学技术大学.png,2,1779615925143,10136.0,h2h_020_paths_round2_哈尔滨工业大学_深圳_vs_中国科学技术大学.png
